"X","Y","FFMC","DMC","DC","ISI","temp","RH","wind","rain","area","month","day"
9,9,74.6,70.5,74.3,56.1,33.3,73.3,9.4,6.4,72.6,"feb","thu"
9,9,68.6,71.5,66.9,56.1,33.3,73,9.4,6.4,66.9,"dec","thu"
9,9,74.5,75.7,67.3,56.1,33.3,66.3,9.4,6.4,66.4,"mar","sun"
9,9,70.4,68,68.2,56.1,33.3,73.3,9.4,6.4,63.9,"feb","mon"
9,9,69.7,65.2,64.6,56.1,33.3,70.6,9.4,6.4,69.9,"aug","thu"
9,9,65.6,77.7,66.9,56.1,33.3,65.9,9.4,6.4,70.3,"jul","mon"
9,9,71.5,72.1,64.7,56.1,33.3,72.2,9.4,6.4,63.6,"dec","sun"
9,9,70.6,65.9,69,56.1,33.3,68.9,9.4,6.4,76.8,"feb","mon"
9,9,77.7,71.4,65.8,56.1,33.3,67.7,9.4,6.4,62.3,"mar","fri"
9,9,66.8,66.4,73.5,56.1,33.3,67.1,9.4,6.4,75.3,"jun","sat"
9,9,70.2,70.6,70.1,56.1,33.3,70.4,9.4,6.4,65.7,"apr","sat"
9,9,67.8,70.7,71.5,56.1,33.3,68.2,9.4,6.4,72.6,"sep","sun"
9,9,61.9,71.6,67,56.1,33.3,70.6,9.4,6.4,69.9,"nov","sat"
9,9,71.6,61.9,70.4,56.1,33.3,65.2,9.4,6.4,73.3,"dec","sat"
9,9,68.4,72.7,62.9,56.1,33.3,75,9.4,6.4,67.9,"oct","tue"
9,9,67.2,65,63.4,56.1,33.3,73.4,9.4,6.4,69.3,"jan","thu"
9,9,72.5,73.8,70.1,56.1,33.3,66.4,9.4,6.4,64.4,"jun","thu"
9,9,67.7,71,74.1,56.1,33.3,64.4,9.4,6.4,64.5,"dec","mon"
9,9,68.9,65.1,64.9,56.1,33.3,64.1,9.4,6.4,65.6,"feb","sat"
9,9,67.6,73.8,67.1,56.1,33.3,69.7,9.4,6.4,72.7,"jul","sat"
9,9,62.5,73.4,65.3,56.1,33.3,66.4,9.4,6.4,65.7,"may","wed"
9,9,62,71.2,68.6,56.1,33.3,73.8,9.4,6.4,75.1,"dec","sun"
9,9,64.1,65,70.3,56.1,33.3,70.6,9.4,6.4,71.7,"nov","sun"
9,9,65.3,67.5,65.3,56.1,33.3,74.5,9.4,6.4,60.8,"jul","thu"
9,9,70.1,61.9,64.9,56.1,33.3,66,9.4,6.4,66.2,"sep","tue"
9,9,70.2,71.7,75.5,56.1,33.3,60,9.4,6.4,68.6,"jun","mon"
9,9,68.5,67.3,68,56.1,33.3,65,9.4,6.4,66.3,"aug","sun"
9,9,65.6,69.5,64.2,56.1,33.3,67.4,9.4,6.4,74.7,"mar","sun"
9,9,75.2,70.3,67.5,56.1,33.3,69.5,9.4,6.4,76.3,"jan","fri"
9,9,74.3,71.6,65.9,56.1,33.3,70.6,9.4,6.4,63,"feb","sat"
9,9,67.1,67.9,65.7,56.1,33.3,63.6,9.4,6.4,63.6,"apr","mon"
9,9,70.7,64.8,70.5,56.1,33.3,74.4,9.4,6.4,72.9,"oct","tue"
9,9,62.5,71.4,71.9,56.1,33.3,79.9,9.4,6.4,77.9,"jan","sat"
9,9,77.7,74.3,75.5,56.1,33.3,67.6,9.4,6.4,70.1,"nov","tue"
9,9,72.9,67.1,65.3,56.1,33.3,66.7,9.4,6.4,57.3,"jul","sun"
9,9,65.5,74.2,70.5,56.1,33.3,74.8,9.4,6.4,67.4,"apr","fri"
9,9,71.5,69.7,74.4,56.1,33.3,67.5,9.4,6.4,69.1,"mar","mon"
9,9,63.9,76.2,70.2,56.1,33.3,70.4,9.4,6.4,71.4,"sep","sat"
9,9,72.5,67,64.5,56.1,33.3,72.4,9.4,6.4,61.2,"may","fri"
9,9,67.9,70.7,73,56.1,33.3,70.2,9.4,6.4,72.1,"feb","sat"
9,9,64.1,63.8,64.2,56.1,33.3,70.4,9.4,6.4,71.5,"nov","sat"
9,9,72.5,70.6,63.6,56.1,33.3,69.2,9.4,6.4,70.1,"mar","mon"
9,9,69.5,70.8,74.4,56.1,33.3,74.8,9.4,6.4,61.9,"oct","sat"
9,9,76,69.5,69.5,56.1,33.3,65.6,9.4,6.4,68.1,"dec","thu"
9,9,68.1,69.7,65.6,56.1,33.3,67.7,9.4,6.4,71.6,"nov","tue"
9,9,74.5,66.6,65.1,56.1,33.3,66.3,9.4,6.4,62.3,"sep","fri"
9,9,68.8,68.9,68.9,56.1,33.3,69.7,9.4,6.4,78,"nov","tue"
9,9,69.9,63.8,65.9,56.1,33.3,66.1,9.4,6.4,60.8,"jan","tue"
9,9,67.7,68.5,69.6,56.1,33.3,73.3,9.4,6.4,70.8,"jun","wed"
9,9,76,66.2,66.4,56.1,33.3,67.9,9.4,6.4,68,"oct","wed"
9,9,70.3,67.2,68.7,56.1,33.3,66.3,9.4,6.4,69,"aug","mon"
9,9,65.7,68.4,66.4,56.1,33.3,72.1,9.4,6.4,64.2,"sep","tue"
9,9,66.6,63.7,69.7,56.1,33.3,65.5,9.4,6.4,68.4,"dec","mon"
9,9,71.1,68.8,71.8,56.1,33.3,71.7,9.4,6.4,66.3,"aug","fri"
9,9,67.8,72.3,76.3,56.1,33.3,78.6,9.4,6.4,70.3,"jan","mon"
9,9,78.9,71.8,75,56.1,33.3,63.9,9.4,6.4,70.7,"jun","sun"
9,9,65.6,68.3,70.6,56.1,33.3,67.8,9.4,6.4,72.9,"mar","fri"
9,9,64.9,68.8,64.3,56.1,33.3,77.8,9.4,6.4,69.9,"aug","thu"
9,9,73.2,68.8,59.4,56.1,33.3,70.1,9.4,6.4,71.8,"dec","sun"
9,9,71.6,69.7,71.8,56.1,33.3,69.9,9.4,6.4,66.9,"feb","fri"
9,9,70.4,69.6,73.9,56.1,33.3,68.1,9.4,6.4,68.5,"oct","thu"
9,9,64.9,65.5,62.7,56.1,33.3,67.5,9.4,6.4,73.2,"oct","fri"
9,9,73.1,71.7,63.7,56.1,33.3,67.3,9.4,6.4,74.7,"feb","tue"
9,9,72.7,66.4,62.8,56.1,33.3,66.5,9.4,6.4,75.7,"jan","wed"
9,9,70.5,58.7,70,56.1,33.3,62,9.4,6.4,65.6,"dec","wed"
9,9,70.1,74.6,71.2,56.1,33.3,66.7,9.4,6.4,71.4,"jun","tue"
9,9,67.2,66.5,66.6,56.1,33.3,61.8,9.4,6.4,73.9,"mar","tue"
9,9,66.7,68.4,74.3,56.1,33.3,74.1,9.4,6.4,74.5,"nov","thu"
9,9,65.5,74.4,70.7,56.1,33.3,65.9,9.4,6.4,72.9,"feb","mon"
9,9,66.1,73,64.2,56.1,33.3,72.9,9.4,6.4,73.2,"nov","sun"
9,9,70.2,71.4,69.6,56.1,33.3,68.6,9.4,6.4,62.6,"nov","wed"
9,9,67.3,71.5,64.1,56.1,33.3,70.1,9.4,6.4,62.8,"apr","tue"
9,9,68.6,69.5,64.8,56.1,33.3,67.3,9.4,6.4,72.4,"jul","fri"
9,9,68.9,67,73.7,56.1,33.3,71.2,9.4,6.4,72.3,"may","tue"
9,9,74.8,66.8,74.3,56.1,33.3,72.4,9.4,6.4,69.4,"dec","fri"
9,9,72.3,75.1,79.3,56.1,33.3,70.5,9.4,6.4,66.8,"aug","thu"
9,9,63.7,67.2,65.4,56.1,33.3,67.2,9.4,6.4,64.7,"feb","mon"
9,9,70.9,65.6,66.4,56.1,33.3,68.5,9.4,6.4,68.3,"feb","thu"
9,9,67.5,67.5,64.4,56.1,33.3,68.8,9.4,6.4,66.2,"mar","wed"
9,9,70.2,65.9,68.2,56.1,33.3,68.2,9.4,6.4,76.2,"jun","sat"
9,9,76.1,68.9,72.3,56.1,33.3,72,9.4,6.4,64,"jan","fri"
9,9,64.5,69.4,70,56.1,33.3,67.8,9.4,6.4,70.9,"may","wed"
9,9,62.2,67,66.6,56.1,33.3,71.5,9.4,6.4,68.2,"feb","sat"
9,9,67.8,74.1,65.5,56.1,33.3,66.8,9.4,6.4,66.9,"jul","sun"
9,9,65.3,69.5,69,56.1,33.3,64.5,9.4,6.4,63.2,"feb","sun"
9,9,74.4,68.3,65.8,56.1,33.3,66.2,9.4,6.4,64.6,"oct","sun"
9,9,65.8,66.6,69.8,56.1,33.3,67,9.4,6.4,66.9,"may","mon"
9,9,70,73.8,63.5,56.1,33.3,74.9,9.4,6.4,66.1,"mar","tue"
9,9,67.7,65.8,73,56.1,33.3,67.9,9.4,6.4,67.3,"feb","sun"
9,9,66.2,73,67.4,56.1,33.3,73.9,9.4,6.4,71,"sep","wed"
9,9,71.8,70.6,63.4,56.1,33.3,69.5,9.4,6.4,71.9,"dec","fri"
9,9,66.6,65.7,75.2,56.1,33.3,72.6,9.4,6.4,74.4,"sep","mon"
9,9,67.4,67.4,69.3,56.1,33.3,75.8,9.4,6.4,68.4,"nov","fri"
9,9,70.1,64.7,68.8,56.1,33.3,68.2,9.4,6.4,65.7,"jun","sun"
9,9,74,70.7,75.2,56.1,33.3,67.4,9.4,6.4,68.6,"jul","sat"
9,9,67.8,68.2,73.8,56.1,33.3,70.1,9.4,6.4,71.6,"jul","mon"
9,9,63.2,61.3,68.9,56.1,33.3,64.6,9.4,6.4,67.2,"mar","sun"
9,9,66.6,67.3,70.8,56.1,33.3,65,9.4,6.4,65.3,"may","tue"
9,9,63.9,70.4,63.7,56.1,33.3,67.8,9.4,6.4,66.1,"apr","fri"
9,9,75.5,70.7,66.3,56.1,33.3,70.5,9.4,6.4,66.3,"jul","wed"
9,9,68.4,72,66.9,56.1,33.3,69.9,9.4,6.4,72.1,"apr","fri"
9,9,74,66.9,65.5,56.1,33.3,73.6,9.4,6.4,69.7,"may","mon"
9,9,70.2,71.5,73.6,56.1,33.3,74.8,9.4,6.4,69.3,"jan","sun"
9,9,73.5,70.6,67.6,56.1,33.3,67.5,9.4,6.4,67.7,"apr","wed"
9,9,72.4,70.6,73.2,56.1,33.3,70.5,9.4,6.4,60.7,"mar","fri"
9,9,66.8,70.7,67.5,56.1,33.3,68.1,9.4,6.4,70.5,"jul","mon"
9,9,68.8,72.1,63.8,56.1,33.3,68.6,9.4,6.4,69.9,"jun","thu"
9,9,70.2,68.9,69.8,56.1,33.3,70,9.4,6.4,64.6,"feb","tue"
9,9,67.1,75.4,71,56.1,33.3,71.9,9.4,6.4,71.9,"jul","fri"
9,9,69.1,67.3,65.2,56.1,33.3,66.7,9.4,6.4,74.6,"jun","fri"
9,9,77,71,66.8,56.1,33.3,67.3,9.4,6.4,68,"sep","thu"
9,9,67.6,65.6,62.9,56.1,33.3,68.1,9.4,6.4,70.4,"dec","mon"
9,9,76.5,71,66.8,56.1,33.3,64.6,9.4,6.4,70.5,"feb","fri"
9,9,70.6,62.9,69.4,56.1,33.3,70.1,9.4,6.4,65.3,"may","tue"
9,9,66.9,65.3,67.8,56.1,33.3,66.3,9.4,6.4,61.9,"jul","sat"
9,9,70.2,66.3,65.9,56.1,33.3,63.2,9.4,6.4,70.3,"aug","wed"
9,9,71.6,70.7,65.2,56.1,33.3,74.8,9.4,6.4,62.6,"feb","tue"
9,9,63.8,72.6,74.6,56.1,33.3,64.1,9.4,6.4,73.4,"mar","sun"
9,9,66.4,73.1,66.1,56.1,33.3,70.8,9.4,6.4,70.7,"aug","sun"
9,9,65.5,67.7,75.5,56.1,33.3,78.2,9.4,6.4,69,"feb","wed"
9,9,67.4,71.7,69.8,56.1,33.3,67.7,9.4,6.4,71,"feb","sun"
9,9,69.6,64.5,71.1,56.1,33.3,67.9,9.4,6.4,75,"jul","thu"
9,9,62.7,72.1,57.9,56.1,33.3,72.5,9.4,6.4,69.9,"nov","mon"
9,9,70.3,66.6,70.7,56.1,33.3,73.4,9.4,6.4,67.9,"jul","sun"
9,9,69.9,70.6,72.4,56.1,33.3,67.6,9.4,6.4,71.6,"feb","thu"
9,9,64.7,69.1,63.2,56.1,33.3,72.4,9.4,6.4,66.6,"jul","wed"
9,9,67.8,74.9,65,56.1,33.3,71.3,9.4,6.4,65.7,"mar","mon"
9,9,68.6,63.7,68.3,56.1,33.3,64.1,9.4,6.4,68.9,"dec","sun"
9,9,71.4,70.4,61.2,56.1,33.3,71.5,9.4,6.4,64,"feb","thu"
9,9,60.7,69.3,74.3,56.1,33.3,67,9.4,6.4,73.8,"apr","fri"
9,9,70.4,65.9,69.5,56.1,33.3,74.2,9.4,6.4,68.3,"apr","sat"
9,9,68.1,68.9,62.8,56.1,33.3,67.1,9.4,6.4,57.5,"jun","mon"
9,9,63.6,63.5,68,56.1,33.3,63.2,9.4,6.4,67.9,"may","tue"
9,9,72.7,73.2,69.2,56.1,33.3,73.6,9.4,6.4,65,"jan","fri"
9,9,71.3,73.1,66,56.1,33.3,69.5,9.4,6.4,68.6,"sep","tue"
9,9,72.5,69.4,73.1,56.1,33.3,66.7,9.4,6.4,64.5,"mar","sun"
9,9,65.8,61.5,70.2,56.1,33.3,70.2,9.4,6.4,68.4,"jul","sun"
9,9,71.5,68.7,67.8,56.1,33.3,63.3,9.4,6.4,69.4,"jun","mon"
9,9,65.8,58.9,67.9,56.1,33.3,66.5,9.4,6.4,73.1,"aug","fri"
9,9,73.2,65.7,74.7,56.1,33.3,70,9.4,6.4,74.5,"aug","tue"
9,9,73,69.9,69.4,56.1,33.3,72.1,9.4,6.4,74.6,"jul","tue"
9,9,73.9,70.1,71,56.1,33.3,72.9,9.4,6.4,75.3,"oct","mon"
9,9,64.6,68.7,78.5,56.1,33.3,66.6,9.4,6.4,70.1,"dec","sun"
9,9,65.9,64.7,73.4,56.1,33.3,62.3,9.4,6.4,72.2,"dec","fri"
9,9,75.6,69.1,72.5,56.1,33.3,69.6,9.4,6.4,69.7,"jan","tue"
9,9,61.4,66.8,73.4,56.1,33.3,66.3,9.4,6.4,66.9,"jan","sun"
9,9,60.5,68.3,66.9,56.1,33.3,68.5,9.4,6.4,69.4,"jan","mon"
9,9,69.8,68.6,68.1,56.1,33.3,73.3,9.4,6.4,67.9,"apr","tue"
9,9,68.6,73,72.1,56.1,33.3,65.8,9.4,6.4,64.8,"aug","thu"
9,9,72.7,69.3,73.8,56.1,33.3,68.9,9.4,6.4,66.2,"mar","mon"
